Code,Name,NameWoDiacritics,Function,Longitude,Latitude
GBZAH,Bucksburn,Bucksburn,-----6--,-2.1666666666666665,57.166666666666664
GBBUD,Bude,Bude,1-3-----,-4.55,50.833333333333336
GBBUA,Budleigh Salterton,Budleigh Salterton,1-3-----,-3.3333333333333335,50.63333333333333
GBBWV,Budock Water,Budock Water,1-------,-5.116666666666666,50.15
GBZAI,Bugle,Bugle,-----6--,-4.8,50.38333333333333
GBXXQ,Buildwas,Buildwas,-----6--,-2.533333333333333,58.63333333333333
GBUNS,Bunessan,Bunessan,1-------,-6.233333333333333,56.31666666666667
GBBNB,Bunnahabhain,Bunnahabhain,1-3-----,-6.133333333333334,55.88333333333333
GBBTO,Buntingford,Buntingford,--3--6--,-0.016666666666666666,51.95
GBBUH,Burghead,Burghead,1-------,-3.4833333333333334,57.7
GBBOC,Burnham on Crouch,Burnham on Crouch,1-------,0.8333333333333334,51.61666666666667
GBBMO,Burnmouth,Burnmouth,123-----,-2.066666666666667,55.833333333333336
GBDUO,Burnopfield,Burnopfield,-----6--,-172.11666666666667,54.15
GBBTL,Burntisland,Burntisland,1-------,-3.2333333333333334,56.06666666666667
GBBVO,Burravoe,Burravoe,1-------,-1.0166666666666666,60.483333333333334
GBBUF,Burray,Burray,1-3-----,-2.9166666666666665,58.85
GBB39,Burridge,Burridge,--3--67-,-1.25,50.88333333333333
GBBPT,Burry Port,Burry Port,123-----,-4.25,51.68333333333333
GBKBK,Burstwick,Burstwick,1-3-----,-0.13333333333333333,53.733333333333334
GBBBK,Burton Bradstock,Burton Bradstock,1-------,-2.716666666666667,50.7
GBBUS,Burton upon Stather,Burton upon Stather,1-------,-0.6833333333333333,53.65
GBUHS,Burwash,Burwash,-----6--,0.38333333333333336,51.0
GBBWC,Burwick,Burwick,1-3-----,-2.966666666666667,58.75
GBBUY,Bury,Bury,1-------,-0.5666666666666667,50.9
GBBTZ,Butterwick,Butterwick,1-------,0.0,52.983333333333334
GBCGZ,Cadgwith,Cadgwith,1-------,-5.166666666666667,49.983333333333334
GBCSU,Cadishead,Cadishead,1-3-----,-2.45,53.4
GBZAJ,Caenby,Caenby,-----6--,-0.48333333333333334,53.38333333333333
GBCBL,Cairnbulg,Cairnbulg,1-------,-1.9166666666666665,57.666666666666664
GBCYN,Cairnryan,Cairnryan,1-------,-5.016666666666667,54.96666666666667
GBCSC,Caister on Sea,Caister on Sea,1-------,1.75,52.65
GBCDC,Caldecott,Caldecott,-----6--,-0.9166666666666666,52.5
GBCBE,Camber,Camber,1-------,0.7833333333333333,50.93333333333333
GBCBS,Cambois,Cambois,--3--6--,-1.5166666666666666,55.15
GBCBT,Campbeltown,Campbeltown,1--4----,-5.633333333333333,55.43333333333333
GBCAU,Camusnagaul,Camusnagaul,1-3-----,-5.133333333333334,56.833333333333336
GBCNA,"Canna, Inner Hebrides","Canna, Inner Hebrides",1-3-----,-6.5,57.05
GBZAK,Canning Town,Canning Town,-----6--,-0.016666666666666666,51.5
GBZAL,Cannington,Cannington,-----6--,-3.066666666666667,51.166666666666664
GBCBI,Canonbie,Canonbie,--3--6--,-2.95,55.06666666666667
GBCAN,Canvey Island,Canvey Island,1-------,0.5666666666666667,51.516666666666666
GBCCL,Cape Cornwall,Cape Cornwall,1-3-----,-5.7,50.11666666666667
GBCAP,Capel,Capel,-23--6--,-0.31666666666666665,51.15
GBCAB,Carbost,Carbost,1-------,-6.2,57.18333333333333
GBOFT,Carcroft,Carcroft,-----6--,-1.1833333333333333,55.56666666666667
GBCDF,Cardiff,Cardiff,1--4----,-3.2,51.5
GBCAR,Cardigan (Aberteifi),Cardigan (Aberteifi),1-3-----,-4.65,52.083333333333336
GBC5T,Cardington,Cardington,1-3-----,-0.4,52.1
GBRLW,Carloway,Carloway,1-------,-6.766666666666667,58.266666666666666
GBCRV,Carlton Colville,Carlton Colville,1-------,1.7,52.45
GBCOI,Carlton in Lindrick,Carlton in Lindrick,--3--6--,-1.1166666666666667,53.35
GBCAH,Carnlough,Carnlough,1-3-----,-6.0,54.983333333333334
GBCRA,Carradale,Carradale,1-3-----,-5.466666666666667,55.583333333333336
GBCRT,Carrington,Carrington,1-------,-2.3833333333333333,53.43333333333333
GBRRO,Carron,Carron,1-------,-5.6,57.4
GBCET,Carsethorn,Carsethorn,1-------,-3.5666666666666664,54.916666666666664
GBZAM,Carterton,Carterton,-----6--,-1.5833333333333335,51.75
GBCGO,Cassington,Cassington,--3--6--,-1.3333333333333333,51.78333333333333
GBEHE,Castle Hedingham,Castle Hedingham,-----6--,0.6,51.983333333333334
GBCBA,Castlebay,Castlebay,1-------,-7.466666666666667,56.95
GBZST,Castlederg,Castlederg,-----6--,-7.983333333333333,55.166666666666664
GBCTF,Castleford,Castleford,1-------,-1.35,53.71666666666667
GBCSW,Castletown,Castletown,1-------,-2.45,50.56666666666667
GBCCE,Catterline,Catterline,1-------,-1.2,56.9
GBCVM,Cavenham,Cavenham,-----6--,0.5833333333333334,52.3
GBCNX,Cawsand,Cawsand,1-------,-4.35,50.31666666666667
GBCAG,"Ceann a Gharaidh, Eriskay","Ceann a Gharaidh, Eriskay",1-3-----,-7.283333333333333,57.06666666666667
GBCMA,Cefn-Mawr,Cefn-Mawr,123--6--,-3.066666666666667,52.96666666666667
GBCEI,Ceinewydd (New Quay),Ceinewydd (New Quay),1-3-----,-4.366666666666666,52.21666666666667
GBCEL,Cellardyke,Cellardyke,1-3-----,-2.65,56.233333333333334
GBCEB,Cemaes Bay,Cemaes Bay,1-3-----,-4.45,53.416666666666664
